"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"Cisco_30:1d:00","IwatsuEl_00:2c:61","1","66","1","66","0","0","74.236132000","0.0000","N/A","N/A"
"All-HSRP-routers_00","Vmware_9b:68:db","1","86","0","0","1","86","75.038094000","0.0000","N/A","N/A"
"JuniperN_3f:fe:bf","Broadcast","1","64","1","64","0","0","77.714700000","0.0000","N/A","N/A"
"IntelCor_86:b6:b3","Broadcast","1","64","1","64","0","0","81.052576000","0.0000","N/A","N/A"
"Dell_f0:13:af","Cisco_30:1d:00","1","66","0","0","1","66","81.217972000","0.0000","N/A","N/A"
"Vmware_a0:32:87","Broadcast","1","247","1","247","0","0","82.696229000","0.0000","N/A","N/A"
"Ibm_60:8a:f6","Broadcast","1","346","1","346","0","0","91.459097000","0.0000","N/A","N/A"
"Ibm_60:cf:e0","Broadcast","1","346","1","346","0","0","97.633585000","0.0000","N/A","N/A"
"Dell_92:20:34","Broadcast","1","96","1","96","0","0","101.193249000","0.0000","N/A","N/A"
"American_6a:a1:e5","Broadcast","1","64","1","64","0","0","108.704170000","0.0000","N/A","N/A"
"IntelCor_6f:fe:b1","Broadcast","1","247","1","247","0","0","108.957895000","0.0000","N/A","N/A"
"Dell_fd:11:7b","Broadcast","1","64","1","64","0","0","112.273808000","0.0000","N/A","N/A"
"Ibm_60:fa:5f","IPv6mcast_01:00:02","1","110","1","110","0","0","123.130003000","0.0000","N/A","N/A"
"Cisco_30:1d:00","CnetTech_3a:c2:3e","1","66","1","66","0","0","127.354262000","0.0000","N/A","N/A"
"Dell_8d:af:c3","Broadcast","1","64","1","64","0","0","130.374887000","0.0000","N/A","N/A"
"Oracle_00:fb:45","Cisco_30:1d:00","1","78","0","0","1","78","132.788307000","0.0000","N/A","N/A"
"Dell_b9:37:a3","Broadcast","1","247","1","247","0","0","143.219883000","0.0000","N/A","N/A"
"Dell_22:f8:97","Cisco_30:1d:00","1","66","0","0","1","66","143.919414000","0.0000","N/A","N/A"
"IntelCor_86:ad:37","Broadcast","1","64","1","64","0","0","152.657521000","0.0000","N/A","N/A"
"Cisco_30:1d:00","AlteonNe_4a:b9:6e","1","64","1","64","0","0","156.349536000","0.0000","N/A","N/A"
"Intel_dc:d5:80","Cisco_30:1d:00","1","64","0","0","1","64","164.610460000","0.0000","N/A","N/A"
"Ibm_a8:93:8e","Broadcast","1","550","1","550","0","0","168.404355000","0.0000","N/A","N/A"
"Apple_94:1b:51","Cisco_30:1d:00","1","66","0","0","1","66","181.699727000","0.0000","N/A","N/A"
"Cisco_70:56:80","Apple_94:1b:51","1","64","0","0","1","64","181.700024000","0.0000","N/A","N/A"
"Apple_36:ec:89","Cisco_30:1d:00","1","66","0","0","1","66","181.736054000","0.0000","N/A","N/A"
"Apple_37:1a:fb","Cisco_30:1d:00","1","66","0","0","1","66","181.743276000","0.0000","N/A","N/A"
"Apple_9c:07:63","Cisco_30:1d:00","1","66","0","0","1","66","181.778353000","0.0000","N/A","N/A"
"All-HSRP-routers_00","Vmware_9b:17:5d","1","64","1","64","0","0","183.132367000","0.0000","N/A","N/A"
"Cisco_30:1d:00","EmersonN_02:52:81","1","66","1","66","0","0","183.579696000","0.0000","N/A","N/A"
"Cisco_70:56:80","EmersonN_02:52:81","1","64","0","0","1","64","183.579961000","0.0000","N/A","N/A"
"Cisco_30:1d:00","EmersonN_02:e3:61","1","66","1","66","0","0","183.611930000","0.0000","N/A","N/A"
"Cisco_30:1d:00","EmersonN_0e:7e:2e","1","66","1","66","0","0","183.625773000","0.0000","N/A","N/A"
"Cisco_30:1d:00","EmersonN_02:88:cd","1","66","1","66","0","0","183.633953000","0.0000","N/A","N/A"
"Cisco_30:1d:00","EmersonN_0e:7e:44","1","66","1","66","0","0","183.654032000","0.0000","N/A","N/A"
"Cisco_30:1d:00","EmersonN_02:f9:75","1","66","1","66","0","0","183.669346000","0.0000","N/A","N/A"
"Cisco_30:1d:00","EmersonN_0c:9c:3a","1","66","1","66","0","0","183.684380000","0.0000","N/A","N/A"
"Cisco_30:1d:00","EmersonN_0a:4a:e5","1","66","1","66","0","0","183.699580000","0.0000","N/A","N/A"
"Cisco_30:1d:00","EmersonN_0c:a2:e0","1","66","1","66","0","0","183.719628000","0.0000","N/A","N/A"
"Cisco_30:1d:00","EmersonN_0c:a2:c2","1","66","1","66","0","0","183.735116000","0.0000","N/A","N/A"
"Cisco_30:1d:00","EmersonN_07:51:b6","1","66","1","66","0","0","183.751213000","0.0000","N/A","N/A"
