"No.","Time","Source","Destination","Protocol","Source Port","Destination Port","Length","Time delta from previous captured frame","Sequence number","Time since reference or first frame","Syn","Acknowledgment","Stream index","Info"
"323378","80.307141","244.3.160.204","244.3.160.239","TCP","36502","80","64","0.001609000","1","80.307141000","Not set","Set","3920","36502  >  80 [ACK] Seq=1 Ack=1 Win=8760 Len=0"
"323379","80.307305","244.3.160.204","244.3.160.239","TCP","36502","80","64","0.000164000","1","80.307305000","Not set","Set","3920","36502  >  80 [FIN, ACK] Seq=1 Ack=1 Win=8760 Len=0"
"323380","80.307378","244.3.160.239","244.3.160.204","TCP","80","36502","64","0.000073000","1","80.307378000","Not set","Set","3920","80  >  36502 [ACK] Seq=1 Ack=2 Win=24820 Len=0"
"323381","80.307781","244.3.160.239","244.3.160.204","TCP","80","36502","64","0.000403000","1","80.307781000","Not set","Set","3920","80  >  36502 [FIN, ACK] Seq=1 Ack=2 Win=24820 Len=0"
"323468","80.363607","244.3.160.239","244.3.160.204","TCP","443","36500","64","0.006837000","1","80.363607000","Not set","Set","3918","443  >  36500 [FIN, ACK] Seq=1 Ack=2 Win=24820 Len=0"
"323494","80.378669","244.3.160.204","244.3.160.239","TCP","36502","80","64","0.000087000","2","80.378669000","Not set","Set","3920","36502  >  80 [ACK] Seq=2 Ack=2 Win=8760 Len=0"
"323551","80.410905","244.3.160.204","244.3.160.239","TCP","36500","443","64","0.007414000","2","80.410905000","Not set","Set","3918","36500  >  443 [ACK] Seq=2 Ack=2 Win=8760 Len=0"
"331720","82.207694","244.3.160.204","244.3.160.239","TCP","36831","443","64","0.000213000","0","82.207694000","Set","Not set","3985","36831  >  443 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"331722","82.207798","244.3.160.239","244.3.160.204","TCP","443","36831","64","0.000005000","0","82.207798000","Set","Set","3985","443  >  36831 [SYN, ACK] Seq=0 Ack=1 Win=24820 Len=0 MSS=1460"
"331723","82.207967","244.3.160.204","244.3.160.239","TCP","36832","8080","64","0.000169000","0","82.207967000","Set","Not set","3986","36832  >  8080 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"331724","82.208037","244.3.160.239","244.3.160.204","TCP","8080","36832","64","0.000070000","1","82.208037000","Not set","Set","3986","8080  >  36832 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"331726","82.208214","244.3.160.204","244.3.160.239","TCP","36833","80","64","0.000100000","0","82.208214000","Set","Not set","3987","36833  >  80 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
